original_url,final_url,method_used,status,ok,error
"https://www.c2cvariations.com.au/NSW%20Incidents%20&%20Warnings","https://www.c2cvariations.com.au/NSW%20Incidents%20&%20Warnings","GET","404","false",""
"https://www.nsw.gov.au/emergency","https://www.nsw.gov.au/emergency","HEAD","200","true",""
"https://www.c2cvariations.com.au/BOM%20New%20South%20Wales%20Warnings","https://www.c2cvariations.com.au/BOM%20New%20South%20Wales%20Warnings","GET","404","false",""
"https://www.ausnetservices.com.au/en/electricity/power-outages/outage-map","https://www.ausnetservices.com.au/en/electricity/power-outages/outage-map","GET","404","false",""
"https://www.bom.gov.au/nsw/warnings/","https://www.bom.gov.au/nsw/warnings/","HEAD","200","true",""
"https://www.vic.gov.au/relief-services","https://www.vic.gov.au/relief-services","GET","404","false",""
"https://www.c2cvariations.com.au/NSW%20SES%20Flood%20&%20Storm","https://www.c2cvariations.com.au/NSW%20SES%20Flood%20&%20Storm","GET","404","false",""
"https://www.healthdirect.gov.au/australian-health-services","https://www.healthdirect.gov.au/australian-health-services","HEAD","200","true",""
"https://www.c2cvariations.com.au/Transport%20NSW%20Service%20Alerts","https://www.c2cvariations.com.au/Transport%20NSW%20Service%20Alerts","GET","404","false",""
"https://www.healthdirect.gov.au/australian-health-services/results/vic","https://www.healthdirect.gov.au/australian-health-services/results/vic","GET","500","false",""
"https://www.endeavourenergy.com.au/outages","https://www.endeavourenergy.com.au/outages","HEAD","200","true",""
"https://www.c2cvariations.com.au/Endeavour%20Energy%20Outages","https://www.c2cvariations.com.au/Endeavour%20Energy%20Outages","GET","404","false",""
"https://www.c2cvariations.com.au/Ausgrid%20Outages","https://www.c2cvariations.com.au/Ausgrid%20Outages","GET","404","false",""
"https://www.c2cvariations.com.au/Essential%20Energy%20Outages","https://www.c2cvariations.com.au/Essential%20Energy%20Outages","GET","404","false",""
"https://www.planning.vic.gov.au/permits-and-applications/vicsmart","https://www.planning.vic.gov.au/guides-and-resources/guides/all-guides/vicsmart-permits","HEAD","200","true",""
"https://www.c2cvariations.com.au/Healthdirect%20NSW%20Finder","https://www.c2cvariations.com.au/Healthdirect%20NSW%20Finder","GET","404","false",""
"https://transportnsw.info/alerts","https://transportnsw.info/alerts","HEAD","200","true",""
"https://www.c2cvariations.com.au/NSW%20Health%20Alerts","https://www.c2cvariations.com.au/NSW%20Health%20Alerts","GET","404","false",""
"https://www.essentialenergy.com.au/outages","https://www.essentialenergy.com.au/outages","GET","403","false",""
"https://www.c2cvariations.com.au/NSW%20Councils%20Directory","https://www.c2cvariations.com.au/NSW%20Councils%20Directory","GET","404","false",""
"https://www.ses.nsw.gov.au/","https://www.ses.nsw.gov.au/","HEAD","200","true",""
"https://www.c2cvariations.com.au/NSW%20Planning%20Portal","https://www.c2cvariations.com.au/NSW%20Planning%20Portal","GET","404","false",""
"https://www.c2cvariations.com.au/QLD%20Alerts","https://www.c2cvariations.com.au/QLD%20Alerts","GET","404","false",""
"https://www.ausgrid.com.au/Outages","https://www.ausgrid.com.au/Outages","HEAD","200","true",""
"https://www.qld.gov.au/alerts","https://www.qld.gov.au/alerts","HEAD","200","true",""
"https://www.c2cvariations.com.au/BOM%20Queensland%20Warnings","https://www.c2cvariations.com.au/BOM%20Queensland%20Warnings","GET","404","false",""
"https://www.c2cvariations.com.au/QLD%20SES","https://www.c2cvariations.com.au/QLD%20SES","GET","404","false",""
"https://www.bom.gov.au/qld/warnings/","https://www.bom.gov.au/qld/warnings/","HEAD","200","true",""
"https://www.c2cvariations.com.au/QLDTraffic","https://www.c2cvariations.com.au/QLDTraffic","GET","404","false",""
"https://www.c2cvariations.com.au/TransLink%20Service%20Updates","https://www.c2cvariations.com.au/TransLink%20Service%20Updates","GET","404","false",""
"https://www.health.nsw.gov.au/Infectious/alerts/Pages/default.aspx","https://www.health.nsw.gov.au/Infectious/alerts/Pages/default.aspx","HEAD","200","true",""
"https://www.planningportal.nsw.gov.au/","https://www.planningportal.nsw.gov.au/","HEAD","200","true",""
"https://www.c2cvariations.com.au/Energex%20Outage%20Finder","https://www.c2cvariations.com.au/Energex%20Outage%20Finder","GET","404","false",""
